group,pc1_center_nm,pc2_center_nm,frame_count,probability,free_energy_kj_mol
complex_rep3,5.867112500000001,3.210703100000001,0,0.0,
complex_rep3,5.867112500000001,3.384358900000001,0,0.0,
complex_rep3,5.867112500000001,3.5580147000000006,0,0.0,
complex_rep3,5.867112500000001,3.731670500000001,0,0.0,
complex_rep3,5.867112500000001,3.9053263000000014,0,0.0,
complex_rep3,5.867112500000001,4.078982100000001,0,0.0,
complex_rep3,6.0710575,-4.430152100000001,0,0.0,
complex_rep3,6.0710575,-4.2564963,0,0.0,
complex_rep3,6.0710575,-4.0828405,0,0.0,
complex_rep3,6.0710575,-3.9091847,0,0.0,
complex_rep3,6.0710575,-3.7355289000000003,0,0.0,
complex_rep3,6.0710575,-3.5618731,0,0.0,
complex_rep3,6.0710575,-3.3882173,0,0.0,
complex_rep3,6.0710575,-3.2145615000000003,0,0.0,
complex_rep3,6.0710575,-3.0409056999999997,0,0.0,
complex_rep3,6.0710575,-2.8672499,0,0.0,
complex_rep3,6.0710575,-2.6935941,0,0.0,
complex_rep3,6.0710575,-2.5199382999999997,0,0.0,
complex_rep3,6.0710575,-2.3462825,0,0.0,
complex_rep3,6.0710575,-2.1726267,0,0.0,
complex_rep3,6.0710575,-1.9989709,0,0.0,
complex_rep3,6.0710575,-1.8253150999999999,0,0.0,
complex_rep3,6.0710575,-1.6516592999999997,0,0.0,
complex_rep3,6.0710575,-1.4780034999999996,0,0.0,
complex_rep3,6.0710575,-1.3043476999999997,0,0.0,
complex_rep3,6.0710575,-1.1306918999999997,0,0.0,
complex_rep3,6.0710575,-0.9570360999999996,0,0.0,
complex_rep3,6.0710575,-0.7833802999999997,0,0.0,
complex_rep3,6.0710575,-0.6097244999999998,0,0.0,
complex_rep3,6.0710575,-0.43606869999999964,0,0.0,
complex_rep3,6.0710575,-0.2624128999999997,0,0.0,
complex_rep3,6.0710575,-0.08875709999999959,0,0.0,
complex_rep3,6.0710575,0.08489870000000055,0,0.0,
complex_rep3,6.0710575,0.25855450000000024,0,0.0,
complex_rep3,6.0710575,0.4322103000000004,0,0.0,
complex_rep3,6.0710575,0.6058661000000005,0,0.0,
complex_rep3,6.0710575,0.7795219000000007,0,0.0,
complex_rep3,6.0710575,0.9531777000000008,0,0.0,
complex_rep3,6.0710575,1.1268335000000005,0,0.0,
complex_rep3,6.0710575,1.3004893000000006,0,0.0,
complex_rep3,6.0710575,1.4741451000000008,0,0.0,
complex_rep3,6.0710575,1.647800900000001,0,0.0,
complex_rep3,6.0710575,1.821456700000001,0,0.0,
complex_rep3,6.0710575,1.9951125000000007,0,0.0,
complex_rep3,6.0710575,2.168768300000001,0,0.0,
complex_rep3,6.0710575,2.342424100000001,0,0.0,
complex_rep3,6.0710575,2.5160799000000007,0,0.0,
complex_rep3,6.0710575,2.689735700000001,0,0.0,
complex_rep3,6.0710575,2.863391500000001,0,0.0,
complex_rep3,6.0710575,3.0370473000000007,0,0.0,
complex_rep3,6.0710575,3.210703100000001,0,0.0,
complex_rep3,6.0710575,3.384358900000001,0,0.0,
complex_rep3,6.0710575,3.5580147000000006,0,0.0,
complex_rep3,6.0710575,3.731670500000001,0,0.0,
complex_rep3,6.0710575,3.9053263000000014,0,0.0,
complex_rep3,6.0710575,4.078982100000001,0,0.0,
apo_rep1,-3.9222474999999997,-4.430152100000001,0,0.0,
apo_rep1,-3.9222474999999997,-4.2564963,0,0.0,
apo_rep1,-3.9222474999999997,-4.0828405,0,0.0,
apo_rep1,-3.9222474999999997,-3.9091847,0,0.0,
apo_rep1,-3.9222474999999997,-3.7355289000000003,0,0.0,
apo_rep1,-3.9222474999999997,-3.5618731,0,0.0,
apo_rep1,-3.9222474999999997,-3.3882173,0,0.0,
apo_rep1,-3.9222474999999997,-3.2145615000000003,0,0.0,
apo_rep1,-3.9222474999999997,-3.0409056999999997,0,0.0,
apo_rep1,-3.9222474999999997,-2.8672499,0,0.0,
apo_rep1,-3.9222474999999997,-2.6935941,0,0.0,
apo_rep1,-3.9222474999999997,-2.5199382999999997,0,0.0,
apo_rep1,-3.9222474999999997,-2.3462825,0,0.0,
apo_rep1,-3.9222474999999997,-2.1726267,0,0.0,
apo_rep1,-3.9222474999999997,-1.9989709,0,0.0,
apo_rep1,-3.9222474999999997,-1.8253150999999999,0,0.0,
apo_rep1,-3.9222474999999997,-1.6516592999999997,0,0.0,
apo_rep1,-3.9222474999999997,-1.4780034999999996,0,0.0,
apo_rep1,-3.9222474999999997,-1.3043476999999997,0,0.0,
apo_rep1,-3.9222474999999997,-1.1306918999999997,0,0.0,
apo_rep1,-3.9222474999999997,-0.9570360999999996,0,0.0,
apo_rep1,-3.9222474999999997,-0.7833802999999997,0,0.0,
apo_rep1,-3.9222474999999997,-0.6097244999999998,0,0.0,
apo_rep1,-3.9222474999999997,-0.43606869999999964,0,0.0,
apo_rep1,-3.9222474999999997,-0.2624128999999997,0,0.0,
apo_rep1,-3.9222474999999997,-0.08875709999999959,0,0.0,
apo_rep1,-3.9222474999999997,0.08489870000000055,0,0.0,
apo_rep1,-3.9222474999999997,0.25855450000000024,0,0.0,
apo_rep1,-3.9222474999999997,0.4322103000000004,0,0.0,
apo_rep1,-3.9222474999999997,0.6058661000000005,0,0.0,
apo_rep1,-3.9222474999999997,0.7795219000000007,0,0.0,
apo_rep1,-3.9222474999999997,0.9531777000000008,0,0.0,
apo_rep1,-3.9222474999999997,1.1268335000000005,0,0.0,
apo_rep1,-3.9222474999999997,1.3004893000000006,0,0.0,
apo_rep1,-3.9222474999999997,1.4741451000000008,0,0.0,
apo_rep1,-3.9222474999999997,1.647800900000001,0,0.0,
apo_rep1,-3.9222474999999997,1.821456700000001,0,0.0,
apo_rep1,-3.9222474999999997,1.9951125000000007,0,0.0,
apo_rep1,-3.9222474999999997,2.168768300000001,0,0.0,
apo_rep1,-3.9222474999999997,2.342424100000001,0,0.0,
apo_rep1,-3.9222474999999997,2.5160799000000007,0,0.0,
apo_rep1,-3.9222474999999997,2.689735700000001,0,0.0,
apo_rep1,-3.9222474999999997,2.863391500000001,0,0.0,
apo_rep1,-3.9222474999999997,3.0370473000000007,0,0.0,
apo_rep1,-3.9222474999999997,3.210703100000001,0,0.0,
apo_rep1,-3.9222474999999997,3.384358900000001,0,0.0,
apo_rep1,-3.9222474999999997,3.5580147000000006,0,0.0,
apo_rep1,-3.9222474999999997,3.731670500000001,0,0.0,
apo_rep1,-3.9222474999999997,3.9053263000000014,0,0.0,
apo_rep1,-3.9222474999999997,4.078982100000001,0,0.0,
apo_rep1,-3.7183024999999996,-4.430152100000001,0,0.0,
apo_rep1,-3.7183024999999996,-4.2564963,0,0.0,
apo_rep1,-3.7183024999999996,-4.0828405,0,0.0,
apo_rep1,-3.7183024999999996,-3.9091847,0,0.0,
apo_rep1,-3.7183024999999996,-3.7355289000000003,0,0.0,
apo_rep1,-3.7183024999999996,-3.5618731,0,0.0,
apo_rep1,-3.7183024999999996,-3.3882173,0,0.0,
apo_rep1,-3.7183024999999996,-3.2145615000000003,0,0.0,
apo_rep1,-3.7183024999999996,-3.0409056999999997,0,0.0,
apo_rep1,-3.7183024999999996,-2.8672499,0,0.0,
apo_rep1,-3.7183024999999996,-2.6935941,0,0.0,
apo_rep1,-3.7183024999999996,-2.5199382999999997,0,0.0,
apo_rep1,-3.7183024999999996,-2.3462825,0,0.0,
apo_rep1,-3.7183024999999996,-2.1726267,0,0.0,
apo_rep1,-3.7183024999999996,-1.9989709,0,0.0,
apo_rep1,-3.7183024999999996,-1.8253150999999999,0,0.0,
apo_rep1,-3.7183024999999996,-1.6516592999999997,0,0.0,
apo_rep1,-3.7183024999999996,-1.4780034999999996,0,0.0,
apo_rep1,-3.7183024999999996,-1.3043476999999997,0,0.0,
apo_rep1,-3.7183024999999996,-1.1306918999999997,0,0.0,
apo_rep1,-3.7183024999999996,-0.9570360999999996,0,0.0,
apo_rep1,-3.7183024999999996,-0.7833802999999997,0,0.0,
apo_rep1,-3.7183024999999996,-0.6097244999999998,0,0.0,
apo_rep1,-3.7183024999999996,-0.43606869999999964,0,0.0,
apo_rep1,-3.7183024999999996,-0.2624128999999997,0,0.0,
apo_rep1,-3.7183024999999996,-0.08875709999999959,0,0.0,
apo_rep1,-3.7183024999999996,0.08489870000000055,0,0.0,
apo_rep1,-3.7183024999999996,0.25855450000000024,0,0.0,
apo_rep1,-3.7183024999999996,0.4322103000000004,0,0.0,
apo_rep1,-3.7183024999999996,0.6058661000000005,0,0.0,
apo_rep1,-3.7183024999999996,0.7795219000000007,0,0.0,
apo_rep1,-3.7183024999999996,0.9531777000000008,0,0.0,
apo_rep1,-3.7183024999999996,1.1268335000000005,0,0.0,
apo_rep1,-3.7183024999999996,1.3004893000000006,0,0.0,
apo_rep1,-3.7183024999999996,1.4741451000000008,0,0.0,
apo_rep1,-3.7183024999999996,1.647800900000001,0,0.0,
apo_rep1,-3.7183024999999996,1.821456700000001,0,0.0,
apo_rep1,-3.7183024999999996,1.9951125000000007,0,0.0,
apo_rep1,-3.7183024999999996,2.168768300000001,0,0.0,
apo_rep1,-3.7183024999999996,2.342424100000001,0,0.0,
apo_rep1,-3.7183024999999996,2.5160799000000007,0,0.0,
apo_rep1,-3.7183024999999996,2.689735700000001,0,0.0,
apo_rep1,-3.7183024999999996,2.863391500000001,0,0.0,
apo_rep1,-3.7183024999999996,3.0370473000000007,0,0.0,
apo_rep1,-3.7183024999999996,3.210703100000001,0,0.0,
apo_rep1,-3.7183024999999996,3.384358900000001,0,0.0,
apo_rep1,-3.7183024999999996,3.5580147000000006,0,0.0,
apo_rep1,-3.7183024999999996,3.731670500000001,0,0.0,
apo_rep1,-3.7183024999999996,3.9053263000000014,0,0.0,
apo_rep1,-3.7183024999999996,4.078982100000001,0,0.0,
apo_rep1,-3.5143574999999996,-4.430152100000001,0,0.0,
apo_rep1,-3.5143574999999996,-4.2564963,0,0.0,
apo_rep1,-3.5143574999999996,-4.0828405,0,0.0,
apo_rep1,-3.5143574999999996,-3.9091847,0,0.0,
apo_rep1,-3.5143574999999996,-3.7355289000000003,0,0.0,
apo_rep1,-3.5143574999999996,-3.5618731,0,0.0,
apo_rep1,-3.5143574999999996,-3.3882173,0,0.0,
apo_rep1,-3.5143574999999996,-3.2145615000000003,0,0.0,
apo_rep1,-3.5143574999999996,-3.0409056999999997,0,0.0,
apo_rep1,-3.5143574999999996,-2.8672499,0,0.0,
apo_rep1,-3.5143574999999996,-2.6935941,0,0.0,
apo_rep1,-3.5143574999999996,-2.5199382999999997,0,0.0,
apo_rep1,-3.5143574999999996,-2.3462825,0,0.0,
apo_rep1,-3.5143574999999996,-2.1726267,0,0.0,
apo_rep1,-3.5143574999999996,-1.9989709,0,0.0,
apo_rep1,-3.5143574999999996,-1.8253150999999999,0,0.0,
apo_rep1,-3.5143574999999996,-1.6516592999999997,0,0.0,
apo_rep1,-3.5143574999999996,-1.4780034999999996,0,0.0,
apo_rep1,-3.5143574999999996,-1.3043476999999997,0,0.0,
apo_rep1,-3.5143574999999996,-1.1306918999999997,0,0.0,
apo_rep1,-3.5143574999999996,-0.9570360999999996,0,0.0,
apo_rep1,-3.5143574999999996,-0.7833802999999997,0,0.0,
apo_rep1,-3.5143574999999996,-0.6097244999999998,0,0.0,
apo_rep1,-3.5143574999999996,-0.43606869999999964,0,0.0,
apo_rep1,-3.5143574999999996,-0.2624128999999997,0,0.0,
apo_rep1,-3.5143574999999996,-0.08875709999999959,0,0.0,
apo_rep1,-3.5143574999999996,0.08489870000000055,0,0.0,
apo_rep1,-3.5143574999999996,0.25855450000000024,0,0.0,
apo_rep1,-3.5143574999999996,0.4322103000000004,0,0.0,
apo_rep1,-3.5143574999999996,0.6058661000000005,0,0.0,
apo_rep1,-3.5143574999999996,0.7795219000000007,0,0.0,
apo_rep1,-3.5143574999999996,0.9531777000000008,0,0.0,
apo_rep1,-3.5143574999999996,1.1268335000000005,0,0.0,
apo_rep1,-3.5143574999999996,1.3004893000000006,0,0.0,
apo_rep1,-3.5143574999999996,1.4741451000000008,0,0.0,
apo_rep1,-3.5143574999999996,1.647800900000001,0,0.0,
apo_rep1,-3.5143574999999996,1.821456700000001,0,0.0,
apo_rep1,-3.5143574999999996,1.9951125000000007,0,0.0,
apo_rep1,-3.5143574999999996,2.168768300000001,0,0.0,
apo_rep1,-3.5143574999999996,2.342424100000001,0,0.0,
apo_rep1,-3.5143574999999996,2.5160799000000007,0,0.0,
apo_rep1,-3.5143574999999996,2.689735700000001,0,0.0,
apo_rep1,-3.5143574999999996,2.863391500000001,0,0.0,
apo_rep1,-3.5143574999999996,3.0370473000000007,0,0.0,
apo_rep1,-3.5143574999999996,3.210703100000001,0,0.0,
apo_rep1,-3.5143574999999996,3.384358900000001,0,0.0,
apo_rep1,-3.5143574999999996,3.5580147000000006,0,0.0,
apo_rep1,-3.5143574999999996,3.731670500000001,0,0.0,
apo_rep1,-3.5143574999999996,3.9053263000000014,0,0.0,
apo_rep1,-3.5143574999999996,4.078982100000001,0,0.0,
apo_rep1,-3.3104124999999995,-4.430152100000001,0,0.0,
apo_rep1,-3.3104124999999995,-4.2564963,0,0.0,
apo_rep1,-3.3104124999999995,-4.0828405,0,0.0,
apo_rep1,-3.3104124999999995,-3.9091847,0,0.0,
apo_rep1,-3.3104124999999995,-3.7355289000000003,0,0.0,
apo_rep1,-3.3104124999999995,-3.5618731,0,0.0,
apo_rep1,-3.3104124999999995,-3.3882173,0,0.0,
apo_rep1,-3.3104124999999995,-3.2145615000000003,0,0.0,
apo_rep1,-3.3104124999999995,-3.0409056999999997,0,0.0,
apo_rep1,-3.3104124999999995,-2.8672499,0,0.0,
apo_rep1,-3.3104124999999995,-2.6935941,0,0.0,
apo_rep1,-3.3104124999999995,-2.5199382999999997,0,0.0,
apo_rep1,-3.3104124999999995,-2.3462825,0,0.0,
apo_rep1,-3.3104124999999995,-2.1726267,0,0.0,
apo_rep1,-3.3104124999999995,-1.9989709,0,0.0,
apo_rep1,-3.3104124999999995,-1.8253150999999999,0,0.0,
apo_rep1,-3.3104124999999995,-1.6516592999999997,0,0.0,
apo_rep1,-3.3104124999999995,-1.4780034999999996,0,0.0,
apo_rep1,-3.3104124999999995,-1.3043476999999997,0,0.0,
apo_rep1,-3.3104124999999995,-1.1306918999999997,0,0.0,
apo_rep1,-3.3104124999999995,-0.9570360999999996,0,0.0,
apo_rep1,-3.3104124999999995,-0.7833802999999997,0,0.0,
apo_rep1,-3.3104124999999995,-0.6097244999999998,0,0.0,
apo_rep1,-3.3104124999999995,-0.43606869999999964,0,0.0,
apo_rep1,-3.3104124999999995,-0.2624128999999997,0,0.0,
apo_rep1,-3.3104124999999995,-0.08875709999999959,0,0.0,
apo_rep1,-3.3104124999999995,0.08489870000000055,0,0.0,
apo_rep1,-3.3104124999999995,0.25855450000000024,0,0.0,
apo_rep1,-3.3104124999999995,0.4322103000000004,0,0.0,
apo_rep1,-3.3104124999999995,0.6058661000000005,0,0.0,
apo_rep1,-3.3104124999999995,0.7795219000000007,0,0.0,
apo_rep1,-3.3104124999999995,0.9531777000000008,0,0.0,
apo_rep1,-3.3104124999999995,1.1268335000000005,0,0.0,
apo_rep1,-3.3104124999999995,1.3004893000000006,0,0.0,
apo_rep1,-3.3104124999999995,1.4741451000000008,0,0.0,
apo_rep1,-3.3104124999999995,1.647800900000001,0,0.0,
apo_rep1,-3.3104124999999995,1.821456700000001,0,0.0,
apo_rep1,-3.3104124999999995,1.9951125000000007,0,0.0,
apo_rep1,-3.3104124999999995,2.168768300000001,0,0.0,
apo_rep1,-3.3104124999999995,2.342424100000001,0,0.0,
apo_rep1,-3.3104124999999995,2.5160799000000007,0,0.0,
apo_rep1,-3.3104124999999995,2.689735700000001,0,0.0,
apo_rep1,-3.3104124999999995,2.863391500000001,0,0.0,
apo_rep1,-3.3104124999999995,3.0370473000000007,0,0.0,
apo_rep1,-3.3104124999999995,3.210703100000001,0,0.0,
apo_rep1,-3.3104124999999995,3.384358900000001,0,0.0,
apo_rep1,-3.3104124999999995,3.5580147000000006,0,0.0,
apo_rep1,-3.3104124999999995,3.731670500000001,0,0.0,
apo_rep1,-3.3104124999999995,3.9053263000000014,0,0.0,
apo_rep1,-3.3104124999999995,4.078982100000001,0,0.0,
apo_rep1,-3.1064674999999995,-4.430152100000001,0,0.0,
apo_rep1,-3.1064674999999995,-4.2564963,0,0.0,
apo_rep1,-3.1064674999999995,-4.0828405,0,0.0,
apo_rep1,-3.1064674999999995,-3.9091847,0,0.0,
apo_rep1,-3.1064674999999995,-3.7355289000000003,0,0.0,
apo_rep1,-3.1064674999999995,-3.5618731,0,0.0,
apo_rep1,-3.1064674999999995,-3.3882173,0,0.0,
apo_rep1,-3.1064674999999995,-3.2145615000000003,0,0.0,
apo_rep1,-3.1064674999999995,-3.0409056999999997,0,0.0,
apo_rep1,-3.1064674999999995,-2.8672499,0,0.0,
apo_rep1,-3.1064674999999995,-2.6935941,0,0.0,
apo_rep1,-3.1064674999999995,-2.5199382999999997,0,0.0,
apo_rep1,-3.1064674999999995,-2.3462825,0,0.0,
apo_rep1,-3.1064674999999995,-2.1726267,0,0.0,
apo_rep1,-3.1064674999999995,-1.9989709,0,0.0,
apo_rep1,-3.1064674999999995,-1.8253150999999999,0,0.0,
apo_rep1,-3.1064674999999995,-1.6516592999999997,0,0.0,
apo_rep1,-3.1064674999999995,-1.4780034999999996,0,0.0,
apo_rep1,-3.1064674999999995,-1.3043476999999997,0,0.0,
apo_rep1,-3.1064674999999995,-1.1306918999999997,0,0.0,
apo_rep1,-3.1064674999999995,-0.9570360999999996,0,0.0,
apo_rep1,-3.1064674999999995,-0.7833802999999997,0,0.0,
apo_rep1,-3.1064674999999995,-0.6097244999999998,0,0.0,
apo_rep1,-3.1064674999999995,-0.43606869999999964,0,0.0,
apo_rep1,-3.1064674999999995,-0.2624128999999997,0,0.0,
apo_rep1,-3.1064674999999995,-0.08875709999999959,0,0.0,
apo_rep1,-3.1064674999999995,0.08489870000000055,0,0.0,
apo_rep1,-3.1064674999999995,0.25855450000000024,0,0.0,
apo_rep1,-3.1064674999999995,0.4322103000000004,0,0.0,
apo_rep1,-3.1064674999999995,0.6058661000000005,0,0.0,
apo_rep1,-3.1064674999999995,0.7795219000000007,0,0.0,
apo_rep1,-3.1064674999999995,0.9531777000000008,0,0.0,
apo_rep1,-3.1064674999999995,1.1268335000000005,0,0.0,
apo_rep1,-3.1064674999999995,1.3004893000000006,0,0.0,
apo_rep1,-3.1064674999999995,1.4741451000000008,0,0.0,
apo_rep1,-3.1064674999999995,1.647800900000001,0,0.0,
apo_rep1,-3.1064674999999995,1.821456700000001,0,0.0,
apo_rep1,-3.1064674999999995,1.9951125000000007,0,0.0,
apo_rep1,-3.1064674999999995,2.168768300000001,0,0.0,
apo_rep1,-3.1064674999999995,2.342424100000001,0,0.0,
apo_rep1,-3.1064674999999995,2.5160799000000007,0,0.0,
apo_rep1,-3.1064674999999995,2.689735700000001,0,0.0,
apo_rep1,-3.1064674999999995,2.863391500000001,0,0.0,
apo_rep1,-3.1064674999999995,3.0370473000000007,0,0.0,
apo_rep1,-3.1064674999999995,3.210703100000001,0,0.0,
apo_rep1,-3.1064674999999995,3.384358900000001,0,0.0,
apo_rep1,-3.1064674999999995,3.5580147000000006,0,0.0,
apo_rep1,-3.1064674999999995,3.731670500000001,0,0.0,
apo_rep1,-3.1064674999999995,3.9053263000000014,0,0.0,
apo_rep1,-3.1064674999999995,4.078982100000001,0,0.0,
apo_rep1,-2.9025224999999995,-4.430152100000001,0,0.0,
apo_rep1,-2.9025224999999995,-4.2564963,0,0.0,
apo_rep1,-2.9025224999999995,-4.0828405,0,0.0,
apo_rep1,-2.9025224999999995,-3.9091847,0,0.0,
apo_rep1,-2.9025224999999995,-3.7355289000000003,0,0.0,
apo_rep1,-2.9025224999999995,-3.5618731,0,0.0,
apo_rep1,-2.9025224999999995,-3.3882173,0,0.0,
apo_rep1,-2.9025224999999995,-3.2145615000000003,0,0.0,
apo_rep1,-2.9025224999999995,-3.0409056999999997,0,0.0,
apo_rep1,-2.9025224999999995,-2.8672499,0,0.0,
apo_rep1,-2.9025224999999995,-2.6935941,0,0.0,
apo_rep1,-2.9025224999999995,-2.5199382999999997,0,0.0,
apo_rep1,-2.9025224999999995,-2.3462825,0,0.0,
apo_rep1,-2.9025224999999995,-2.1726267,0,0.0,
apo_rep1,-2.9025224999999995,-1.9989709,0,0.0,
apo_rep1,-2.9025224999999995,-1.8253150999999999,0,0.0,
apo_rep1,-2.9025224999999995,-1.6516592999999997,0,0.0,
apo_rep1,-2.9025224999999995,-1.4780034999999996,0,0.0,
apo_rep1,-2.9025224999999995,-1.3043476999999997,0,0.0,
apo_rep1,-2.9025224999999995,-1.1306918999999997,0,0.0,
apo_rep1,-2.9025224999999995,-0.9570360999999996,0,0.0,
apo_rep1,-2.9025224999999995,-0.7833802999999997,0,0.0,
apo_rep1,-2.9025224999999995,-0.6097244999999998,0,0.0,
apo_rep1,-2.9025224999999995,-0.43606869999999964,0,0.0,
apo_rep1,-2.9025224999999995,-0.2624128999999997,0,0.0,
apo_rep1,-2.9025224999999995,-0.08875709999999959,0,0.0,
apo_rep1,-2.9025224999999995,0.08489870000000055,0,0.0,
apo_rep1,-2.9025224999999995,0.25855450000000024,0,0.0,
apo_rep1,-2.9025224999999995,0.4322103000000004,0,0.0,
apo_rep1,-2.9025224999999995,0.6058661000000005,0,0.0,
apo_rep1,-2.9025224999999995,0.7795219000000007,0,0.0,
apo_rep1,-2.9025224999999995,0.9531777000000008,0,0.0,
apo_rep1,-2.9025224999999995,1.1268335000000005,0,0.0,
apo_rep1,-2.9025224999999995,1.3004893000000006,0,0.0,
apo_rep1,-2.9025224999999995,1.4741451000000008,0,0.0,
apo_rep1,-2.9025224999999995,1.647800900000001,0,0.0,
apo_rep1,-2.9025224999999995,1.821456700000001,0,0.0,
apo_rep1,-2.9025224999999995,1.9951125000000007,0,0.0,
apo_rep1,-2.9025224999999995,2.168768300000001,0,0.0,
apo_rep1,-2.9025224999999995,2.342424100000001,0,0.0,
apo_rep1,-2.9025224999999995,2.5160799000000007,0,0.0,
apo_rep1,-2.9025224999999995,2.689735700000001,0,0.0,
apo_rep1,-2.9025224999999995,2.863391500000001,0,0.0,
apo_rep1,-2.9025224999999995,3.0370473000000007,0,0.0,
apo_rep1,-2.9025224999999995,3.210703100000001,0,0.0,
apo_rep1,-2.9025224999999995,3.384358900000001,0,0.0,
apo_rep1,-2.9025224999999995,3.5580147000000006,0,0.0,
apo_rep1,-2.9025224999999995,3.731670500000001,0,0.0,
apo_rep1,-2.9025224999999995,3.9053263000000014,0,0.0,
apo_rep1,-2.9025224999999995,4.078982100000001,0,0.0,
apo_rep1,-2.6985774999999994,-4.430152100000001,0,0.0,
apo_rep1,-2.6985774999999994,-4.2564963,0,0.0,
apo_rep1,-2.6985774999999994,-4.0828405,0,0.0,
apo_rep1,-2.6985774999999994,-3.9091847,0,0.0,
apo_rep1,-2.6985774999999994,-3.7355289000000003,0,0.0,
apo_rep1,-2.6985774999999994,-3.5618731,0,0.0,
apo_rep1,-2.6985774999999994,-3.3882173,0,0.0,
apo_rep1,-2.6985774999999994,-3.2145615000000003,0,0.0,
apo_rep1,-2.6985774999999994,-3.0409056999999997,0,0.0,
apo_rep1,-2.6985774999999994,-2.8672499,0,0.0,
apo_rep1,-2.6985774999999994,-2.6935941,0,0.0,
apo_rep1,-2.6985774999999994,-2.5199382999999997,0,0.0,
apo_rep1,-2.6985774999999994,-2.3462825,0,0.0,
apo_rep1,-2.6985774999999994,-2.1726267,0,0.0,
apo_rep1,-2.6985774999999994,-1.9989709,0,0.0,
apo_rep1,-2.6985774999999994,-1.8253150999999999,0,0.0,
apo_rep1,-2.6985774999999994,-1.6516592999999997,0,0.0,
apo_rep1,-2.6985774999999994,-1.4780034999999996,0,0.0,
apo_rep1,-2.6985774999999994,-1.3043476999999997,0,0.0,
apo_rep1,-2.6985774999999994,-1.1306918999999997,0,0.0,
apo_rep1,-2.6985774999999994,-0.9570360999999996,0,0.0,
apo_rep1,-2.6985774999999994,-0.7833802999999997,0,0.0,
apo_rep1,-2.6985774999999994,-0.6097244999999998,0,0.0,
apo_rep1,-2.6985774999999994,-0.43606869999999964,0,0.0,
apo_rep1,-2.6985774999999994,-0.2624128999999997,0,0.0,
apo_rep1,-2.6985774999999994,-0.08875709999999959,0,0.0,
apo_rep1,-2.6985774999999994,0.08489870000000055,0,0.0,
apo_rep1,-2.6985774999999994,0.25855450000000024,0,0.0,
apo_rep1,-2.6985774999999994,0.4322103000000004,0,0.0,
apo_rep1,-2.6985774999999994,0.6058661000000005,0,0.0,
apo_rep1,-2.6985774999999994,0.7795219000000007,0,0.0,
apo_rep1,-2.6985774999999994,0.9531777000000008,0,0.0,
apo_rep1,-2.6985774999999994,1.1268335000000005,0,0.0,
apo_rep1,-2.6985774999999994,1.3004893000000006,0,0.0,
apo_rep1,-2.6985774999999994,1.4741451000000008,0,0.0,
apo_rep1,-2.6985774999999994,1.647800900000001,0,0.0,
apo_rep1,-2.6985774999999994,1.821456700000001,0,0.0,
apo_rep1,-2.6985774999999994,1.9951125000000007,0,0.0,
apo_rep1,-2.6985774999999994,2.168768300000001,0,0.0,
apo_rep1,-2.6985774999999994,2.342424100000001,0,0.0,
apo_rep1,-2.6985774999999994,2.5160799000000007,0,0.0,
apo_rep1,-2.6985774999999994,2.689735700000001,0,0.0,
apo_rep1,-2.6985774999999994,2.863391500000001,0,0.0,
apo_rep1,-2.6985774999999994,3.0370473000000007,0,0.0,
apo_rep1,-2.6985774999999994,3.210703100000001,0,0.0,
apo_rep1,-2.6985774999999994,3.384358900000001,0,0.0,
apo_rep1,-2.6985774999999994,3.5580147000000006,0,0.0,
apo_rep1,-2.6985774999999994,3.731670500000001,0,0.0,
apo_rep1,-2.6985774999999994,3.9053263000000014,0,0.0,
apo_rep1,-2.6985774999999994,4.078982100000001,0,0.0,
apo_rep1,-2.4946324999999994,-4.430152100000001,0,0.0,
apo_rep1,-2.4946324999999994,-4.2564963,0,0.0,
apo_rep1,-2.4946324999999994,-4.0828405,0,0.0,
apo_rep1,-2.4946324999999994,-3.9091847,0,0.0,
apo_rep1,-2.4946324999999994,-3.7355289000000003,0,0.0,
apo_rep1,-2.4946324999999994,-3.5618731,0,0.0,
apo_rep1,-2.4946324999999994,-3.3882173,0,0.0,
apo_rep1,-2.4946324999999994,-3.2145615000000003,0,0.0,
apo_rep1,-2.4946324999999994,-3.0409056999999997,0,0.0,
apo_rep1,-2.4946324999999994,-2.8672499,0,0.0,
apo_rep1,-2.4946324999999994,-2.6935941,0,0.0,
apo_rep1,-2.4946324999999994,-2.5199382999999997,0,0.0,
apo_rep1,-2.4946324999999994,-2.3462825,0,0.0,
apo_rep1,-2.4946324999999994,-2.1726267,0,0.0,
apo_rep1,-2.4946324999999994,-1.9989709,0,0.0,
apo_rep1,-2.4946324999999994,-1.8253150999999999,0,0.0,
apo_rep1,-2.4946324999999994,-1.6516592999999997,0,0.0,
apo_rep1,-2.4946324999999994,-1.4780034999999996,0,0.0,
apo_rep1,-2.4946324999999994,-1.3043476999999997,0,0.0,
apo_rep1,-2.4946324999999994,-1.1306918999999997,0,0.0,
apo_rep1,-2.4946324999999994,-0.9570360999999996,0,0.0,
apo_rep1,-2.4946324999999994,-0.7833802999999997,0,0.0,
apo_rep1,-2.4946324999999994,-0.6097244999999998,0,0.0,
apo_rep1,-2.4946324999999994,-0.43606869999999964,0,0.0,
apo_rep1,-2.4946324999999994,-0.2624128999999997,0,0.0,
apo_rep1,-2.4946324999999994,-0.08875709999999959,0,0.0,
apo_rep1,-2.4946324999999994,0.08489870000000055,0,0.0,
